what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.mylyn.resources.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.resources.ui,1321295968345
stopped,bundle,org.eclipse.mylyn.context.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.context.ui,1321295968345
stopped,bundle,org.eclipse.mylyn.help.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.help.ui,1321295968345
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.tasks.bugs,1321295968361
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.tasks.ui,1321295968361
stopped,bundle,org.tigris.subversion.subclipse.graph,1.0.7,org.tigris.subversion.subclipse.graph,1321295968361
stopped,bundle,org.tigris.subversion.subclipse.ui,1.6.2,org.tigris.subversion.subclipse.ui,1321295968361
stopped,bundle,com.python.pydev.codecompletion,2.0.0.2011040403,com.python.pydev.codecompletion,1321295968376
stopped,bundle,com.python.pydev.refactoring,2.0.0.2011040403,com.python.pydev.refactoring,1321295968392
stopped,bundle,com.python.pydev.analysis,2.0.0.2011040403,com.python.pydev.analysis,1321295968392
stopped,bundle,com.python.pydev.debug,2.0.0.2011040403,com.python.pydev.debug,1321295968392
stopped,bundle,com.python.pydev.fastparser,2.0.0.2011040403,com.python.pydev.fastparser,1321295968392
stopped,bundle,com.python.pydev,2.0.0.2011040403,com.python.pydev,1321295968423
stopped,bundle,org.python.pydev.django,2.0.0.2011040403,org.python.pydev.django,1321295968423
stopped,bundle,org.python.pydev.customizations,2.0.0.2011040403,org.python.pydev.customizations,1321295968439
stopped,bundle,org.python.pydev.red_core,2.0.0.2011040403,org.python.pydev.red_core,1321295968439
stopped,bundle,org.python.pydev.debug,2.0.0.2011040403,org.python.pydev.debug,1321295968454
stopped,bundle,org.python.pydev.refactoring,2.0.0.2011040403,org.python.pydev.refactoring,1321295968454
stopped,bundle,org.python.pydev,2.0.0.2011040403,org.python.pydev,1321295968454
stopped,bundle,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui,1321295968517
stopped,bundle,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search,1321295968517
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1321295968532
stopped,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1321295968564
stopped,bundle,org.eclipse.team.ui,3.4.1.r34x_20080827,org.eclipse.team.ui,1321295968579
stopped,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1321295968579
